name,total_kcal_mol,mode,frames,components.internal,components.van_der_waals,components.electrostatic,components.polar_solvation,components.non_polar_solvation,components.gas,components.solvation,status,structure_uri,properties.intramol_kcal_mol,properties.cnn_affinity,properties.is_best_interaction,properties.auto_detected_pocket,properties.uniprot_id,properties.scored_by,properties.smiles,properties.target,properties.table_uri,properties.absolute_energies.complex,properties.absolute_energies.receptor,properties.absolute_energies.ligand,properties.raw_status
opt2_pose1_prepared,-36.558382640000346,gb,1,0.0001999999998769,-36.95279999999983,-2.935300000000404,8.826000000000008,-5.496182639999999,-39.88820000000035,3.3298173600000087,success,s3://dev-vecura-workflow/model-router-outputs/44e7d539c4b5450a8dd4adb595463ee9/prepared.pdb,-0.16,6.371,true,,P51955,uni-gbsa,Cc1c(CN2CCC3(CCNCC3)CC2)cc(CCC(=O)O)c(O)c1C,2W5A,s3://dev-vecura-workflow/model-router-outputs/5b18cc89e8e54473af25b69e690eedcf/binding_energy_table.csv,-706.6917200800002,-705.8923871999998,35.75874976,S
opt6_pose1_prepared,-45.830752399999554,gb,1,7.838174553853605e-14,-45.65990000000007,-1.1418999999995414,7.837000000000079,-6.865952400000012,-46.80179999999962,0.971047600000067,success,s3://dev-vecura-workflow/model-router-outputs/44e7d539c4b5450a8dd4adb595463ee9/prepared.pdb,0.46,6.104,true,,P51955,uni-gbsa,CCOc1ccc(CN(C)CC(=O)NCCc2cc(C)n[nH]2)cc1,2W5A,s3://dev-vecura-workflow/model-router-outputs/89c24e7721db4295bb07befa2cdc2d8b/binding_energy_table.csv,-788.4432403999996,-772.3317986400006,29.71931064,S
opt7_pose1_prepared,-34.418917360000684,gb,1,0.0001000000002218,-33.89339999999995,-3.553700000000436,8.040300000000016,-5.012217360000011,-37.44700000000069,3.0280826400000054,success,s3://dev-vecura-workflow/model-router-outputs/44e7d539c4b5450a8dd4adb595463ee9/prepared.pdb,-0.36,5.898,true,,P51955,uni-gbsa,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CCc1ccoc1O,2W5A,s3://dev-vecura-workflow/model-router-outputs/ea9d7c66e0474b0ba95e3db3c863cd9c/binding_energy_table.csv,-682.28433808,-704.6382245599999,56.77280384,S
opt16_pose1_prepared,-34.08167352000012,gb,1,9.126033262418789e-14,-31.10790000000024,-3.3515999999999746,5.387400000000072,-5.009573519999984,-34.45950000000021,0.3778264800000883,success,s3://dev-vecura-workflow/model-router-outputs/44e7d539c4b5450a8dd4adb595463ee9/prepared.pdb,-0.32,4.814,true,,P51955,uni-gbsa,COC(=O)c1sc(Cl)cc1OCC(O)CNC(C)C,2W5A,s3://dev-vecura-workflow/model-router-outputs/d4bcb6ca1f0a476198064fa1a02cca26/binding_energy_table.csv,-705.13417096,-702.7998981599995,31.74740072,S
opt19_pose1_prepared,-36.84187863999976,gb,1,0.0001000000002258,-36.19190000000017,-1.052599999999412,6.341199999999969,-5.938478639999987,-37.244599999999735,0.4027213599999815,success,s3://dev-vecura-workflow/model-router-outputs/44e7d539c4b5450a8dd4adb595463ee9/prepared.pdb,-0.69,5.614,true,,P51955,uni-gbsa,COc1ccc(CCNC(=O)CNC(=O)CC(C)C)cc1OC,2W5A,s3://dev-vecura-workflow/model-router-outputs/da013e2f92604d3182eae2caca51624d/binding_energy_table.csv,-719.3146434399991,-701.7751216800002,19.302156880000005,S
